Number of Threads,Average Latency,Standard Deviation,Number of Measures
1,521.67,41.50,20
20,7914.44,2096.65,20
40,18928.13,3812.46,20
60,31881.67,10029.23,20
80,47611.89,15576.75,20
100,56272.69,25523.63,20
120,77291.42,18800.25,20
140,68162.80,17123.73,20
160,85076.67,23020.13,20
180,103371.97,25953.33,20
200,109436.14,30576.51,20
220,133835.36,36129.19,20
240,133943.45,42127.30,20
260,168086.80,39578.24,20
280,186657.55,59715.04,20
300,207863.68,61524.64,20
320,201103.37,59998.43,20
340,211576.51,65525.17,20
360,208535.24,61597.88,20
380,220608.49,66919.56,20
400,260922.42,74445.63,20
420,256771.42,77203.70,20
440,272996.50,87903.04,20
460,303720.37,102221.49,20
480,287381.37,76000.90,20
500,364186.03,216084.68,20
