Number of Threads,Average of Average,SD of Average,Average 95thPL,SD of 95thPL,Average Throughput,SD of Throughput,Number of Measures
1,521.67,41.50,928.85,137.56,1331.61,74.81,20
20,7914.44,2096.65,29335.00,8439.45,1543.82,221.35,20
40,18928.13,3812.46,90920.60,15329.75,1288.77,157.03,20
60,31881.67,10029.23,154248.60,32618.47,1153.78,199.84,20
80,47611.89,15576.75,221074.20,57468.39,1033.22,171.24,20
100,56272.69,25523.63,262450.20,90785.93,1060.29,273.36,20
120,77291.42,18800.25,326533.40,99145.77,956.35,148.32,20
140,68162.80,17123.73,284255.00,88962.37,1102.25,170.18,20
160,85076.67,23020.13,326501.40,100368.54,1090.91,172.59,20
180,103371.97,25953.33,346040.60,82213.20,1036.41,139.74,20
200,109436.14,30576.51,354053.40,111616.98,1071.60,186.94,20
220,133835.36,36129.19,407301.40,120516.84,963.56,154.01,20
240,133943.45,42127.30,383147.80,129900.33,1035.26,148.72,20
260,168086.80,39578.24,435711.00,99820.51,916.44,135.80,20
280,186657.55,59715.04,484107.80,129991.34,875.17,122.76,20
300,207863.68,61524.64,497535.00,133454.41,842.12,147.17,20
320,201103.37,59998.43,458827.80,155311.90,910.23,153.03,20
340,211576.51,65525.17,468082.20,144812.81,922.19,149.57,20
360,208535.24,61597.88,458808.60,164699.42,933.30,188.77,20
380,220608.49,66919.56,485413.40,155264.48,916.00,138.85,20
400,260922.42,74445.63,508645.40,158148.85,856.47,159.45,20
420,256771.42,77203.70,509989.40,163270.61,891.04,157.81,20
440,272996.50,87903.04,547480.60,211834.96,870.95,184.78,20
460,303720.37,102221.49,598309.40,166934.52,821.61,141.27,20
480,287381.37,76000.90,581400.60,149840.11,845.38,115.83,20
500,364186.03,216084.68,644850.20,447251.09,816.43,181.27,20
